Timestamp,AppName,Duration(Seconds),Duration(Readable)
2026-01-18 21:38:08,Visual Studio Code,4,4s
2026-01-18 21:38:19,Visual Studio Code,8,8s
2026-01-18 21:38:21,Google Chrome,2,2s
2026-01-18 21:38:24,Visual Studio Code,3,3s
2026-01-18 21:38:42,Google Chrome,18,18s
2026-01-18 21:41:14,Visual Studio Code,151,2m 31s
2026-01-18 21:41:57,Google Chrome,43,43s
2026-01-18 21:41:59,Visual Studio Code,2,2s
2026-01-18 21:42:10,Google Chrome,11,11s
2026-01-18 21:42:19,Visual Studio Code,9,9s
2026-01-18 21:42:24,Discord,3,3s
2026-01-18 21:43:09,Google Chrome,43,43s
2026-01-18 21:43:13,Visual Studio Code,4,4s
2026-01-18 21:43:50,Google Chrome,37,37s
2026-01-18 21:44:01,Visual Studio Code,10,10s
2026-01-18 21:44:32,Google Chrome,31,31s
2026-01-18 21:45:15,Visual Studio Code,43,43s
2026-01-18 21:45:51,Visual Studio Code,35,35s
2026-01-18 21:46:50,Google Chrome,59,59s
2026-01-18 21:46:55,Discord,5,5s
2026-01-18 21:47:56,Google Chrome,61,1m 1s
2026-01-18 21:48:12,Visual Studio Code,16,16s
2026-01-18 21:48:14,DeepL,2,2s
2026-01-18 21:49:20,Visual Studio Code,66,1m 6s
2026-01-18 21:49:22,DeepL,2,2s
